,Mode of study,Level of study,Subject level,Subject code,Subject,Question,Responses,Population,Suppression reason,Option 1,Option 2,Option 3,Option 4,Option 5,This does not apply to me,Positivity measure (%),Benchmark (%),Difference (ppt),Standard deviation,Contribution to benchmark (%),Materially below benchmark (%),Broadly in line with benchmark (%),Materially above benchmark (%),Publication response headcount,Publication response rate (%)
2957,All modes,First degree,CAH2,CAH15-03,Politics,Theme 6: Learning resources,173.2,238.7,,,,,,,,88.4,87.2,1.1,2.4,4.7,6.9,64.4,28.7,276,72.8
2958,All modes,First degree,CAH2,CAH15-03,Politics,Theme 7: Student voice,171.8,238.7,,,,,,,,63.6,71.2,-7.6,3.5,4.8,92.9,6.9,0.2,276,72.8
2959,All modes,First degree,CAH3,CAH15-03-01,Politics,Q01: How good are teaching staff at explaining things?,173.2,238.7,,58.56,105.8,7.15,1.66,,0.5,94.9,93.7,1.2,1.7,4.7,1.6,76.1,22.3,276,72.8
2960,All modes,First degree,CAH3,CAH15-03-01,Politics,Q02: How often do teaching staff make the subject engaging?,173.2,238.7,,42.77,102.96,25.12,2.32,,0.5,84.2,83.9,0.3,2.7,4.7,15.1,64.8,20.1,276,72.8
2961,All modes,First degree,CAH3,CAH15-03-01,Politics,Q03: How often is the course intellectually stimulating?,173.2,238.7,,100.33,62.71,10.13,0,,0.5,94.2,87.4,6.7,2.1,4.7,0,2.2,97.8,276,72.8
2962,All modes,First degree,CAH3,CAH15-03-01,Politics,Q04: How often does your course challenge you to achieve your best work?,173.2,238.7,,76.87,67.53,26.44,2.33,,0.5,83.4,79.9,3.5,2.8,4.7,1.6,34.2,64.3,276,72.8
2963,All modes,First degree,CAH3,CAH15-03-01,Politics,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,173.2,238.7,,84.36,66.84,20.97,1,,0.5,87.3,85.8,1.5,2.5,4.7,5.3,60,34.7,276,72.8
2964,All modes,First degree,CAH3,CAH15-03-01,Politics,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,173.2,238.7,,55.59,86.97,25.95,4.66,,0.5,82.3,82.2,0.1,2.8,4.7,17.4,62.6,20,276,72.8
2965,All modes,First degree,CAH3,CAH15-03-01,Politics,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,173.2,238.7,,88.34,61.38,20.45,3,,0.5,86.5,85.5,1,2.6,4.7,9.1,63.3,27.5,276,72.8
2966,All modes,First degree,CAH3,CAH15-03-01,Politics,Q08: To what extent does your course have the right balance of directed and independent study?,172.8,238.7,,48.4,67.38,43.1,13.96,,0.83,67,70.3,-3.3,3.4,4.7,59.7,36,4.3,276,72.8
2967,All modes,First degree,CAH3,CAH15-03-01,Politics,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,171.2,238.7,,40.92,84.68,38.92,6.65,,2.5,73.4,74.2,-0.8,3.2,4.7,30.4,54.6,15,276,72.8
2968,All modes,First degree,CAH3,CAH15-03-01,Politics,Q10: How clear were the marking criteria used to assess your work?,173.2,238.7,,29.59,69.54,60.91,13.13,,0.5,57.2,69.7,-12.4,3.5,4.7,99.8,0.2,0,276,72.8
2969,All modes,First degree,CAH3,CAH15-03-01,Politics,Q11: How fair has the marking and assessment been on your course?,173.2,238.7,,28.76,99.51,36.08,8.82,,0.5,74.1,77.8,-3.8,3.1,4.7,65.9,32.1,2.1,276,72.8
2970,All modes,First degree,CAH3,CAH15-03-01,Politics,Q12: How well have assessments allowed you to demonstrate what you have learned?,172.8,238.7,,28.77,103.49,32.92,7.66,,0.83,76.5,78.4,-1.9,3,4.7,42.4,50.4,7.2,276,72.8
2971,All modes,First degree,CAH3,CAH15-03-01,Politics,Q13: How often have you received assessment feedback on time?,173.2,238.7,,42.07,82.35,35.11,13.64,,0.5,71.8,75.8,-4,3.2,4.7,67.7,30.1,2.2,276,72.8
2972,All modes,First degree,CAH3,CAH15-03-01,Politics,Q14: How often does feedback help you to improve your work?,173.2,238.7,,36.6,78.68,45.08,12.81,,0.5,66.6,67.6,-1,3.4,4.7,33.2,51.6,15.2,276,72.8
2973,All modes,First degree,CAH3,CAH15-03-01,Politics,Q15: How easy was it to contact teaching staff when you needed to?,170.7,238.7,,71.71,84.99,13.31,0.66,,3,91.8,87.1,4.7,2.3,4.6,0.1,17.4,82.5,276,72.8
2974,All modes,First degree,CAH3,CAH15-03-01,Politics,Q16: How well have teaching staff supported your learning?,173.2,238.7,,55.06,91.66,25.46,0.99,,0.5,84.7,84.1,0.7,2.7,4.7,11.8,63.6,24.6,276,72.8
2975,All modes,First degree,CAH3,CAH15-03-01,Politics,Q17: How well organised is your course?,173.2,238.7,,43.08,97.68,29.1,3.31,,0.5,81.3,75.9,5.3,3,4.7,0.4,16.7,82.9,276,72.8
2976,All modes,First degree,CAH3,CAH15-03-01,Politics,Q18: How well were any changes to teaching on your course communicated?,169,238.7,,46.56,80.2,36.61,5.65,,4.65,75,75.7,-0.7,3.2,4.7,28.8,55.6,15.6,276,72.8
2977,All modes,First degree,CAH3,CAH15-03-01,Politics,Q19: How well have the IT resources and facilities supported your learning?,164,238.7,,58.04,80.19,22.12,3.66,,9.66,84.3,83,1.3,2.8,4.8,9,57.9,33.1,276,72.8
2978,All modes,First degree,CAH3,CAH15-03-01,Politics,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",171.5,238.7,,88.82,71.22,10.14,1.33,,1.83,93.3,90.9,2.4,2,4.7,0.7,50.9,48.3,276,72.8
2979,All modes,First degree,CAH3,CAH15-03-01,Politics,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",151.7,238.7,,61.05,70.33,18.97,1.33,,20.66,86.6,88,-1.3,2.6,4.7,33.1,59.8,7.1,276,72.8
2980,All modes,First degree,CAH3,CAH15-03-01,Politics,Q22: To what extent do you get the right opportunities to give feedback on your course?,171.8,238.7,,58.7,84.53,24.29,4.32,,0.5,83.4,81.9,1.5,2.8,4.8,8,56.2,35.8,276,72.8
2981,All modes,First degree,CAH3,CAH15-03-01,Politics,Q23: To what extent are students' opinions about the course valued by staff?,168.7,238.7,,35.25,80.69,40.93,11.81,,2.66,68.7,74.9,-6.2,3.3,4.7,86.5,13,0.5,276,72.8
2982,All modes,First degree,CAH3,CAH15-03-01,Politics,Q24: How clear is it that students' feedback on the course is acted on?,166.7,238.7,,16.46,45.56,84.2,20.46,,4.33,37.2,55.9,-18.7,3.7,4.6,100,0,0,276,72.8
2983,All modes,First degree,CAH3,CAH15-03-01,Politics,Q25: How well does the students' union (association or guild) represent students' academic interests?,160.4,238.7,,25.77,84.37,36.09,14.13,,10.65,68.7,66.3,2.4,3.6,4.8,8.7,42.8,48.5,276,72.8
2984,All modes,First degree,CAH3,CAH15-03-01,Politics,Q26: How well communicated was information about your university/college's mental wellbeing support services?,166.9,238.7,,32.78,75.37,40.23,18.48,,3.82,64.8,72.4,-7.6,3.5,4.7,93,6.8,0.2,276,72.8
2985,All modes,First degree,CAH3,CAH15-03-01,Politics,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",170.7,238.7,,70.69,74.18,23.31,2.5,,0,84.9,86,-1.1,2.6,5.4,30,62,8,276,72.8
2986,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 1: Teaching on my course,173.2,238.7,,,,,,,,89.2,86.2,2.9,2.4,4.7,1.2,41.5,57.2,276,72.8
2987,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 2: Learning opportunities,173.2,238.7,,,,,,,,79.3,79.6,-0.3,3,4.7,22.9,59.6,17.5,276,72.8
2988,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 3: Assessment and feedback,173.2,238.7,,,,,,,,69.2,73.8,-4.6,3.3,4.7,73.6,24.8,1.6,276,72.8
2989,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 4: Academic support,173.2,238.7,,,,,,,,87.9,85.6,2.3,2.5,4.7,2.8,50.1,47.1,276,72.8
2990,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 5: Organisation and management,173.2,238.7,,,,,,,,78.2,75.9,2.4,3.1,4.7,5.7,45.9,48.4,276,72.8
2991,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 6: Learning resources,173.2,238.7,,,,,,,,88.4,87.2,1.1,2.4,4.7,6.9,64.4,28.7,276,72.8
2992,All modes,First degree,CAH3,CAH15-03-01,Politics,Theme 7: Student voice,171.8,238.7,,,,,,,,63.6,71.2,-7.6,3.5,4.8,92.9,6.9,0.2,276,72.8
2993,All modes,First degree,CAH1,CAH16,Law,Q01: How good are teaching staff at explaining things?,118,198.5,,47,65,5,1,,0,94.9,92.1,2.8,2.3,1.9,1.1,44.2,54.8,128,59.4
2994,All modes,First degree,CAH1,CAH16,Law,Q02: How often do teaching staff make the subject engaging?,118,198.5,,23.5,81.5,11,2,,0,89,78.5,10.5,3.4,1.9,0,0.8,99.2,128,59.4
2995,All modes,First degree,CAH1,CAH16,Law,Q03: How often is the course intellectually stimulating?,118,198.5,,74.5,41,1.5,1,,0,97.9,87.1,10.8,2.5,1.9,0,0,100,128,59.4
2996,All modes,First degree,CAH1,CAH16,Law,Q04: How often does your course challenge you to achieve your best work?,118,198.5,,53.5,54.5,6.5,3.5,,0,91.5,83.6,8,3,1.9,0,3.3,96.7,128,59.4
2997,All modes,First degree,CAH1,CAH16,Law,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,118,198.5,,50.5,54,11.5,2,,0,88.6,82.5,6.1,3.2,1.9,0.4,12.9,86.7,128,59.4
2998,All modes,First degree,CAH1,CAH16,Law,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,117,198.5,,29.5,68.5,16.5,2.5,,1,83.8,82.9,0.8,3.3,1.9,15.9,53.3,30.7,128,59.4
2999,All modes,First degree,CAH1,CAH16,Law,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,117,198.5,,46,51.5,17.5,2,,1,83.3,77.6,5.7,3.6,1.9,1.2,17.7,81.2,128,59.4
3000,All modes,First degree,CAH1,CAH16,Law,Q08: To what extent does your course have the right balance of directed and independent study?,117,198.5,,31.5,53,25,7.5,,1,72.2,73.2,-1,4,1.9,34.9,45.8,19.3,128,59.4
3001,All modes,First degree,CAH1,CAH16,Law,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,118,198.5,,33.5,65.5,15,4,,0,83.9,81.5,2.4,3.4,1.9,7.6,43.8,48.6,128,59.4
3002,All modes,First degree,CAH1,CAH16,Law,Q10: How clear were the marking criteria used to assess your work?,118,198.5,,30,55,22.5,10.5,,0,72,68.6,3.4,4,1.9,7,33.8,59.2,128,59.4
3003,All modes,First degree,CAH1,CAH16,Law,Q11: How fair has the marking and assessment been on your course?,116.5,198.5,,31,65,16,4.5,,1.5,82.4,74.2,8.2,3.7,1.9,0.2,5.8,94,128,59.4
3004,All modes,First degree,CAH1,CAH16,Law,Q12: How well have assessments allowed you to demonstrate what you have learned?,118,198.5,,25.5,65.5,23,4,,0,77.1,78.6,-1.5,3.6,1.9,38.8,47.4,13.8,128,59.4
3005,All modes,First degree,CAH1,CAH16,Law,Q13: How often have you received assessment feedback on time?,118,198.5,,45.5,54.5,13.5,4.5,,0,84.7,75.7,9.1,3.5,1.9,0.1,3.1,96.8,128,59.4
3006,All modes,First degree,CAH1,CAH16,Law,Q14: How often does feedback help you to improve your work?,118,198.5,,33.5,62,17,5.5,,0,80.9,66,15,3.9,1.9,0,0.1,99.9,128,59.4
3007,All modes,First degree,CAH1,CAH16,Law,Q15: How easy was it to contact teaching staff when you needed to?,117,198.5,,54.5,49.5,9.5,3.5,,1,88.9,83.6,5.3,3.2,1.9,0.7,18.2,81.1,128,59.4
3008,All modes,First degree,CAH1,CAH16,Law,Q16: How well have teaching staff supported your learning?,118,198.5,,42.5,65,7.5,3,,0,91.1,81.9,9.2,3.1,1.9,0,1.6,98.4,128,59.4
3009,All modes,First degree,CAH1,CAH16,Law,Q17: How well organised is your course?,118,198.5,,25,69,19,5,,0,79.7,78.8,0.9,3.7,1.9,17.8,49.1,33.1,128,59.4
3010,All modes,First degree,CAH1,CAH16,Law,Q18: How well were any changes to teaching on your course communicated?,118,198.5,,35.5,51.5,24.5,6.5,,0,73.7,75.7,-2,3.9,1.9,44.9,42.5,12.6,128,59.4
3011,All modes,First degree,CAH1,CAH16,Law,Q19: How well have the IT resources and facilities supported your learning?,114,198.5,,29,61.5,18.5,5,,4,79.4,84.4,-5,3.5,2,75.8,22.5,1.7,128,59.4
3012,All modes,First degree,CAH1,CAH16,Law,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",115,198.5,,50.5,55.5,6,3,,3,92.2,90.9,1.2,2.6,1.9,7.4,61.4,31.1,128,59.4
3013,All modes,First degree,CAH1,CAH16,Law,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",113,198.5,,40,63.5,7.5,2,,5,91.6,87.9,3.7,2.8,1.9,1.4,31.8,66.8,128,59.4
3014,All modes,First degree,CAH1,CAH16,Law,Q22: To what extent do you get the right opportunities to give feedback on your course?,116,198.5,,42,51,17,6,,1,80.2,78.3,1.9,3.7,1.9,11.4,44.9,43.7,128,59.4
3015,All modes,First degree,CAH1,CAH16,Law,Q23: To what extent are students' opinions about the course valued by staff?,116,198.5,,30.5,49,28.5,8,,1,68.5,71.6,-3.1,4.1,1.9,55.5,35.6,8.9,128,59.4
3016,All modes,First degree,CAH1,CAH16,Law,Q24: How clear is it that students' feedback on the course is acted on?,114,198.5,,18,42.5,43,10.5,,2,53.1,57.5,-4.5,4.5,1.9,66.7,27.1,6.2,128,59.4
3017,All modes,First degree,CAH1,CAH16,Law,Q25: How well does the students' union (association or guild) represent students' academic interests?,108,198.5,,20.5,51.5,25.5,10.5,,7,66.7,70.2,-3.6,4.3,1.9,59.6,32.3,8.1,128,59.4
3018,All modes,First degree,CAH1,CAH16,Law,Q26: How well communicated was information about your university/college's mental wellbeing support services?,112.5,198.5,,24,46,29,13.5,,2,62.2,75.4,-13.1,4.3,1.8,99.3,0.6,0,128,59.4
3019,All modes,First degree,CAH1,CAH16,Law,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",113.5,198.5,,47,48.5,13.5,4.5,,1,84.1,85.3,-1.1,3.3,2.1,33.7,52.9,13.5,128,59.4
3020,All modes,First degree,CAH1,CAH16,Law,Theme 1: Teaching on my course,118,198.5,,,,,,,,93.3,85.3,8.1,2.9,1.9,0,2.7,97.3,128,59.4
3021,All modes,First degree,CAH1,CAH16,Law,Theme 2: Learning opportunities,118,198.5,,,,,,,,82.3,79.5,2.9,3.6,1.9,6.7,39.3,54,128,59.4
3022,All modes,First degree,CAH1,CAH16,Law,Theme 3: Assessment and feedback,118,198.5,,,,,,,,79.5,72.6,6.9,3.8,1.9,0.7,11.8,87.6,128,59.4
3023,All modes,First degree,CAH1,CAH16,Law,Theme 4: Academic support,118,198.5,,,,,,,,90,82.7,7.4,3.2,1.9,0.1,6.1,93.8,128,59.4
3024,All modes,First degree,CAH1,CAH16,Law,Theme 5: Organisation and management,118,198.5,,,,,,,,76.7,77.3,-0.6,3.8,1.9,31.3,48,20.7,128,59.4
3025,All modes,First degree,CAH1,CAH16,Law,Theme 6: Learning resources,117,198.5,,,,,,,,87.7,87.6,0.1,3,1.9,19,59.2,21.7,128,59.4
3026,All modes,First degree,CAH1,CAH16,Law,Theme 7: Student voice,117,198.5,,,,,,,,67.5,69.2,-1.7,4.2,1.9,42.2,41.7,16.1,128,59.4
3027,All modes,First degree,CAH2,CAH16-01,Law,Q01: How good are teaching staff at explaining things?,118,198.5,,47,65,5,1,,0,94.9,92.1,2.8,2.3,1.9,1.1,44.2,54.8,128,59.4
3028,All modes,First degree,CAH2,CAH16-01,Law,Q02: How often do teaching staff make the subject engaging?,118,198.5,,23.5,81.5,11,2,,0,89,78.5,10.5,3.4,1.9,0,0.8,99.2,128,59.4
3029,All modes,First degree,CAH2,CAH16-01,Law,Q03: How often is the course intellectually stimulating?,118,198.5,,74.5,41,1.5,1,,0,97.9,87.1,10.8,2.5,1.9,0,0,100,128,59.4
3030,All modes,First degree,CAH2,CAH16-01,Law,Q04: How often does your course challenge you to achieve your best work?,118,198.5,,53.5,54.5,6.5,3.5,,0,91.5,83.6,8,3,1.9,0,3.3,96.7,128,59.4
3031,All modes,First degree,CAH2,CAH16-01,Law,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,118,198.5,,50.5,54,11.5,2,,0,88.6,82.5,6.1,3.2,1.9,0.4,12.9,86.7,128,59.4
3032,All modes,First degree,CAH2,CAH16-01,Law,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,117,198.5,,29.5,68.5,16.5,2.5,,1,83.8,82.9,0.8,3.3,1.9,15.9,53.3,30.7,128,59.4
3033,All modes,First degree,CAH2,CAH16-01,Law,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,117,198.5,,46,51.5,17.5,2,,1,83.3,77.6,5.7,3.6,1.9,1.2,17.7,81.2,128,59.4
3034,All modes,First degree,CAH2,CAH16-01,Law,Q08: To what extent does your course have the right balance of directed and independent study?,117,198.5,,31.5,53,25,7.5,,1,72.2,73.2,-1,4,1.9,34.9,45.8,19.3,128,59.4
3035,All modes,First degree,CAH2,CAH16-01,Law,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,118,198.5,,33.5,65.5,15,4,,0,83.9,81.5,2.4,3.4,1.9,7.6,43.8,48.6,128,59.4
3036,All modes,First degree,CAH2,CAH16-01,Law,Q10: How clear were the marking criteria used to assess your work?,118,198.5,,30,55,22.5,10.5,,0,72,68.6,3.4,4,1.9,7,33.8,59.2,128,59.4
3037,All modes,First degree,CAH2,CAH16-01,Law,Q11: How fair has the marking and assessment been on your course?,116.5,198.5,,31,65,16,4.5,,1.5,82.4,74.2,8.2,3.7,1.9,0.2,5.8,94,128,59.4
3038,All modes,First degree,CAH2,CAH16-01,Law,Q12: How well have assessments allowed you to demonstrate what you have learned?,118,198.5,,25.5,65.5,23,4,,0,77.1,78.6,-1.5,3.6,1.9,38.8,47.4,13.8,128,59.4
3039,All modes,First degree,CAH2,CAH16-01,Law,Q13: How often have you received assessment feedback on time?,118,198.5,,45.5,54.5,13.5,4.5,,0,84.7,75.7,9.1,3.5,1.9,0.1,3.1,96.8,128,59.4
3040,All modes,First degree,CAH2,CAH16-01,Law,Q14: How often does feedback help you to improve your work?,118,198.5,,33.5,62,17,5.5,,0,80.9,66,15,3.9,1.9,0,0.1,99.9,128,59.4
3041,All modes,First degree,CAH2,CAH16-01,Law,Q15: How easy was it to contact teaching staff when you needed to?,117,198.5,,54.5,49.5,9.5,3.5,,1,88.9,83.6,5.3,3.2,1.9,0.7,18.2,81.1,128,59.4
3042,All modes,First degree,CAH2,CAH16-01,Law,Q16: How well have teaching staff supported your learning?,118,198.5,,42.5,65,7.5,3,,0,91.1,81.9,9.2,3.1,1.9,0,1.6,98.4,128,59.4
3043,All modes,First degree,CAH2,CAH16-01,Law,Q17: How well organised is your course?,118,198.5,,25,69,19,5,,0,79.7,78.8,0.9,3.7,1.9,17.8,49.1,33.1,128,59.4
3044,All modes,First degree,CAH2,CAH16-01,Law,Q18: How well were any changes to teaching on your course communicated?,118,198.5,,35.5,51.5,24.5,6.5,,0,73.7,75.7,-2,3.9,1.9,44.9,42.5,12.6,128,59.4
3045,All modes,First degree,CAH2,CAH16-01,Law,Q19: How well have the IT resources and facilities supported your learning?,114,198.5,,29,61.5,18.5,5,,4,79.4,84.4,-5,3.5,2,75.8,22.5,1.7,128,59.4
3046,All modes,First degree,CAH2,CAH16-01,Law,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",115,198.5,,50.5,55.5,6,3,,3,92.2,90.9,1.2,2.6,1.9,7.4,61.4,31.1,128,59.4
3047,All modes,First degree,CAH2,CAH16-01,Law,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",113,198.5,,40,63.5,7.5,2,,5,91.6,87.9,3.7,2.8,1.9,1.4,31.8,66.8,128,59.4
3048,All modes,First degree,CAH2,CAH16-01,Law,Q22: To what extent do you get the right opportunities to give feedback on your course?,116,198.5,,42,51,17,6,,1,80.2,78.3,1.9,3.7,1.9,11.4,44.9,43.7,128,59.4
3049,All modes,First degree,CAH2,CAH16-01,Law,Q23: To what extent are students' opinions about the course valued by staff?,116,198.5,,30.5,49,28.5,8,,1,68.5,71.6,-3.1,4.1,1.9,55.5,35.6,8.9,128,59.4
3050,All modes,First degree,CAH2,CAH16-01,Law,Q24: How clear is it that students' feedback on the course is acted on?,114,198.5,,18,42.5,43,10.5,,2,53.1,57.5,-4.5,4.5,1.9,66.7,27.1,6.2,128,59.4
3051,All modes,First degree,CAH2,CAH16-01,Law,Q25: How well does the students' union (association or guild) represent students' academic interests?,108,198.5,,20.5,51.5,25.5,10.5,,7,66.7,70.2,-3.6,4.3,1.9,59.6,32.3,8.1,128,59.4
3052,All modes,First degree,CAH2,CAH16-01,Law,Q26: How well communicated was information about your university/college's mental wellbeing support services?,112.5,198.5,,24,46,29,13.5,,2,62.2,75.4,-13.1,4.3,1.8,99.3,0.6,0,128,59.4
3053,All modes,First degree,CAH2,CAH16-01,Law,"Q27: During your studies, how free did you feel to express your ideas, opinions, and beliefs?",113.5,198.5,,47,48.5,13.5,4.5,,1,84.1,85.3,-1.1,3.3,2.1,33.7,52.9,13.5,128,59.4
3054,All modes,First degree,CAH2,CAH16-01,Law,Theme 1: Teaching on my course,118,198.5,,,,,,,,93.3,85.3,8.1,2.9,1.9,0,2.7,97.3,128,59.4
3055,All modes,First degree,CAH2,CAH16-01,Law,Theme 2: Learning opportunities,118,198.5,,,,,,,,82.3,79.5,2.9,3.6,1.9,6.7,39.3,54,128,59.4
3056,All modes,First degree,CAH2,CAH16-01,Law,Theme 3: Assessment and feedback,118,198.5,,,,,,,,79.5,72.6,6.9,3.8,1.9,0.7,11.8,87.6,128,59.4
3057,All modes,First degree,CAH2,CAH16-01,Law,Theme 4: Academic support,118,198.5,,,,,,,,90,82.7,7.4,3.2,1.9,0.1,6.1,93.8,128,59.4
3058,All modes,First degree,CAH2,CAH16-01,Law,Theme 5: Organisation and management,118,198.5,,,,,,,,76.7,77.3,-0.6,3.8,1.9,31.3,48,20.7,128,59.4
3059,All modes,First degree,CAH2,CAH16-01,Law,Theme 6: Learning resources,117,198.5,,,,,,,,87.7,87.6,0.1,3,1.9,19,59.2,21.7,128,59.4
3060,All modes,First degree,CAH2,CAH16-01,Law,Theme 7: Student voice,117,198.5,,,,,,,,67.5,69.2,-1.7,4.2,1.9,42.2,41.7,16.1,128,59.4
3061,All modes,First degree,CAH3,CAH16-01-01,Law,Q01: How good are teaching staff at explaining things?,118,198.5,,47,65,5,1,,0,94.9,92.1,2.8,2.3,1.9,1.1,44.2,54.8,128,59.4
3062,All modes,First degree,CAH3,CAH16-01-01,Law,Q02: How often do teaching staff make the subject engaging?,118,198.5,,23.5,81.5,11,2,,0,89,78.5,10.5,3.4,1.9,0,0.8,99.2,128,59.4
3063,All modes,First degree,CAH3,CAH16-01-01,Law,Q03: How often is the course intellectually stimulating?,118,198.5,,74.5,41,1.5,1,,0,97.9,87.1,10.8,2.5,1.9,0,0,100,128,59.4
3064,All modes,First degree,CAH3,CAH16-01-01,Law,Q04: How often does your course challenge you to achieve your best work?,118,198.5,,53.5,54.5,6.5,3.5,,0,91.5,83.6,8,3,1.9,0,3.3,96.7,128,59.4
3065,All modes,First degree,CAH3,CAH16-01-01,Law,Q05: To what extent have you had the chance to explore ideas and concepts in depth?,118,198.5,,50.5,54,11.5,2,,0,88.6,82.5,6.1,3.2,1.9,0.4,12.9,86.7,128,59.4
3066,All modes,First degree,CAH3,CAH16-01-01,Law,Q06: How well does your course introduce subjects and skills in a way that builds on what you have already learned?,117,198.5,,29.5,68.5,16.5,2.5,,1,83.8,82.9,0.8,3.3,1.9,15.9,53.3,30.7,128,59.4
3067,All modes,First degree,CAH3,CAH16-01-01,Law,Q07: To what extent have you had the chance to bring together information and ideas from different topics?,117,198.5,,46,51.5,17.5,2,,1,83.3,77.6,5.7,3.6,1.9,1.2,17.7,81.2,128,59.4
3068,All modes,First degree,CAH3,CAH16-01-01,Law,Q08: To what extent does your course have the right balance of directed and independent study?,117,198.5,,31.5,53,25,7.5,,1,72.2,73.2,-1,4,1.9,34.9,45.8,19.3,128,59.4
3069,All modes,First degree,CAH3,CAH16-01-01,Law,Q09: How well has your course developed your knowledge and skills that you think you will need for your future?,118,198.5,,33.5,65.5,15,4,,0,83.9,81.5,2.4,3.4,1.9,7.6,43.8,48.6,128,59.4
3070,All modes,First degree,CAH3,CAH16-01-01,Law,Q10: How clear were the marking criteria used to assess your work?,118,198.5,,30,55,22.5,10.5,,0,72,68.6,3.4,4,1.9,7,33.8,59.2,128,59.4
3071,All modes,First degree,CAH3,CAH16-01-01,Law,Q11: How fair has the marking and assessment been on your course?,116.5,198.5,,31,65,16,4.5,,1.5,82.4,74.2,8.2,3.7,1.9,0.2,5.8,94,128,59.4
3072,All modes,First degree,CAH3,CAH16-01-01,Law,Q12: How well have assessments allowed you to demonstrate what you have learned?,118,198.5,,25.5,65.5,23,4,,0,77.1,78.6,-1.5,3.6,1.9,38.8,47.4,13.8,128,59.4
3073,All modes,First degree,CAH3,CAH16-01-01,Law,Q13: How often have you received assessment feedback on time?,118,198.5,,45.5,54.5,13.5,4.5,,0,84.7,75.7,9.1,3.5,1.9,0.1,3.1,96.8,128,59.4
3074,All modes,First degree,CAH3,CAH16-01-01,Law,Q14: How often does feedback help you to improve your work?,118,198.5,,33.5,62,17,5.5,,0,80.9,66,15,3.9,1.9,0,0.1,99.9,128,59.4
3075,All modes,First degree,CAH3,CAH16-01-01,Law,Q15: How easy was it to contact teaching staff when you needed to?,117,198.5,,54.5,49.5,9.5,3.5,,1,88.9,83.6,5.3,3.2,1.9,0.7,18.2,81.1,128,59.4
3076,All modes,First degree,CAH3,CAH16-01-01,Law,Q16: How well have teaching staff supported your learning?,118,198.5,,42.5,65,7.5,3,,0,91.1,81.9,9.2,3.1,1.9,0,1.6,98.4,128,59.4
3077,All modes,First degree,CAH3,CAH16-01-01,Law,Q17: How well organised is your course?,118,198.5,,25,69,19,5,,0,79.7,78.8,0.9,3.7,1.9,17.8,49.1,33.1,128,59.4
3078,All modes,First degree,CAH3,CAH16-01-01,Law,Q18: How well were any changes to teaching on your course communicated?,118,198.5,,35.5,51.5,24.5,6.5,,0,73.7,75.7,-2,3.9,1.9,44.9,42.5,12.6,128,59.4
3079,All modes,First degree,CAH3,CAH16-01-01,Law,Q19: How well have the IT resources and facilities supported your learning?,114,198.5,,29,61.5,18.5,5,,4,79.4,84.4,-5,3.5,2,75.8,22.5,1.7,128,59.4
3080,All modes,First degree,CAH3,CAH16-01-01,Law,"Q20: How well have the library resources (e.g., books, online services and learning spaces) supported your learning?",115,198.5,,50.5,55.5,6,3,,3,92.2,90.9,1.2,2.6,1.9,7.4,61.4,31.1,128,59.4
3081,All modes,First degree,CAH3,CAH16-01-01,Law,"Q21: How easy is it to access subject specific resources (e.g., equipment, facilities, software) when you need them?",113,198.5,,40,63.5,7.5,2,,5,91.6,87.9,3.7,2.8,1.9,1.4,31.8,66.8,128,59.4
3082,All modes,First degree,CAH3,CAH16-01-01,Law,Q22: To what extent do you get the right opportunities to give feedback on your course?,116,198.5,,42,51,17,6,,1,80.2,78.3,1.9,3.7,1.9,11.4,44.9,43.7,128,59.4
3083,All modes,First degree,CAH3,CAH16-01-01,Law,Q23: To what extent are students' opinions about the course valued by staff?,116,198.5,,30.5,49,28.5,8,,1,68.5,71.6,-3.1,4.1,1.9,55.5,35.6,8.9,128,59.4
